Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
11002,2836,437,54,35,9999,0,1535,0,3602,5529,5,4,1478,525,2000,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4293,1640,0,28,54,47,52,54,19,25,28,23,43,0,0,11284,569,0,371,56,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,121,82,74,142,1,3,94,5,1,9,12,25,4,2,86,0,0,0,0,101,0,0,0
12001,2836,437,54,35,9999,0,1554,0,3602,5597,5,4,1478,525,2000,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4228,1679,0,31,50,44,47,47,14,28,31,23,43,0,0,11284,569,0,371,56,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,131,80,76,145,2,3,94,5,1,9,12,25,3,2,86,0,0,0,0,101,0,0,0
13002,2836,437,54,35,9999,0,1524,0,3602,5489,5,4,1478,525,2000,1,0,1,72,72,29,0,0,0,0,0,1440,1584,4178,1674,0,33,44,42,42,50,33,22,28,30,44,0,0,11284,569,0,371,56,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,144,83,78,164,2,3,94,5,1,7,12,24,3,2,86,0,0,0,0,101,0,0,0
14001,2836,437,54,35,9999,0,1687,0,3624,6113,5,4,1478,525,2000,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4178,1674,0,33,44,42,42,50,33,22,28,30,44,0,0,11284,569,0,371,56,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,55,47,62,22,0,2,96,4,0,4,10,31,1,3,89,0,0,0,0,101,0,0,0
15001,2836,437,54,35,9999,0,1572,0,3624,5696,5,4,1478,525,2000,1,0,1,47,72,35,0,24,28,0,0,1440,1584,3773,1598,0,30,50,54,44,69,30,19,21,23,45,0,0,11284,569,0,371,56,427,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,182,84,84,222,4,3,93,6,1,9,12,24,3,1,86,0,0,0,0,101,0,0,0
16002,2836,437,54,35,9999,0,1579,0,3624,5722,5,4,1478,525,2000,1,0,1,72,72,34,0,0,0,0,0,1440,1584,4462,1667,0,31,44,42,38,47,31,21,27,14,45,0,0,11284,569,0,371,56,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,124,81,82,143,2,3,93,5,1,10,12,25,3,2,86,0,0,0,0,101,0,0,0
17002,2836,437,54,35,9999,0,1567,0,3624,5678,5,4,1862,525,2000,1,0,1,72,72,33,0,0,0,0,0,1440,1584,4697,1573,0,43,71,76,76,75,39,43,35,35,47,0,0,11284,569,0,371,56,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,135,81,81,149,2,3,94,5,1,9,11,25,3,2,86,0,0,0,0,101,0,0,0
18023,2702,618,54,35,9999,0,1548,0,3624,5609,5,4,1478,525,1555,1,0,1,72,72,33,0,0,0,0,0,1440,1584,4849,1572,0,28,45,45,45,50,28,14,23,27,47,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,139,84,87,163,3,3,93,6,1,9,12,23,3,2,86,0,0,0,0,101,0,0,0
19002,2702,618,54,35,9999,0,1578,0,3624,5718,5,4,1478,525,2000,1,0,1,72,72,32,0,0,0,0,0,1440,1584,4396,1596,0,28,47,44,45,42,28,19,15,23,45,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,138,82,82,155,2,3,93,5,1,9,12,25,3,2,86,0,0,0,0,101,0,0,0
20002,2702,618,54,35,9999,0,1562,0,3624,5660,5,4,1478,525,2000,1,0,1,72,72,31,0,0,0,0,0,1440,1584,4529,1675,0,36,50,44,44,52,25,31,36,19,45,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,124,82,81,144,2,3,94,5,1,10,12,25,3,2,86,0,0,0,0,101,0,0,0
21002,2702,618,54,35,9999,0,1567,0,3624,5678,5,4,1478,525,2000,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4446,1551,0,30,44,52,47,47,21,25,30,19,44,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,125,82,85,145,3,3,93,6,1,10,12,24,4,2,86,0,0,0,0,101,0,0,0
22003,2702,618,54,35,9999,0,1554,0,3624,5631,5,4,1478,525,2000,1,0,1,72,72,30,0,0,0,0,0,1440,1584,4464,1605,0,30,57,63,63,90,30,15,21,23,45,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,133,80,79,145,2,3,94,5,1,11,12,25,3,2,86,0,0,0,0,101,0,0,0
23002,2702,618,54,35,9999,0,1623,0,3624,5881,5,4,1478,525,2000,1,0,1,72,72,31,0,0,0,0,0,1440,1584,4505,1617,0,27,63,68,69,75,21,27,25,15,45,0,0,11599,753,0,542,64,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,138,84,83,162,3,3,93,5,1,9,12,23,3,1,86,0,0,0,0,101,0,0,0
