Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
60808;0.0413;15.2150;1.5731;-0.0083;8.8124;266.1098;355.5020;True;True;15.0532;1.1732;0.1440;3.7640;273.6830;351.2978;-0.0163;0.0561;-0.0161;0.0000;True;True;15.0373;1.1980;-0.2532;359.9170;251.9258;8.9447;-0.1645;0.2315;0.2067;0.0000;1;En movimiento;5.1591;1.1508;-1.0455
60811;0.0820;15.2176;1.5726;-0.0077;9.1826;266.1196;355.5004;True;True;15.0522;1.1751;0.1435;3.4432;273.5719;351.5870;-0.0204;0.0420;-0.0061;0.0000;True;True;15.0306;1.2079;-0.2444;356.9691;254.5018;5.9792;-0.1443;0.2352;0.2017;0.0000;1;En movimiento;5.5250;1.1444;-1.0245
60814;0.1242;15.2201;1.5724;-0.0072;9.3534;266.0991;355.4532;True;True;15.0512;1.1772;0.1436;3.0521;273.5690;351.6797;-0.0263;0.0567;0.0069;0.0000;True;True;15.0247;1.2185;-0.2356;354.2375;256.1568;2.6719;-0.1388;0.2592;0.2131;0.0000;1;En movimiento;5.9041;1.1435;-1.0028
60817;0.1653;15.2229;1.5725;-0.0066;9.4297;266.0493;355.3954;True;True;15.0506;1.1799;0.1441;2.6872;273.7800;351.6121;-0.0109;0.0653;0.0114;0.0000;True;True;15.0199;1.2283;-0.2276;352.3929;258.0087;1.9612;-0.1029;0.2273;0.1827;0.0000;1;En movimiento;6.2737;1.1307;-0.9816
60820;0.2068;15.2257;1.5729;-0.0060;9.2684;265.9297;355.3542;True;True;15.0506;1.1831;0.1445;2.0668;273.9029;351.3120;-0.0001;0.0784;0.0095;0.0000;True;True;15.0168;1.2369;-0.2207;351.1325;259.9879;2.6258;-0.0609;0.1923;0.1578;0.0000;1;En movimiento;6.6461;1.1243;-0.9603
60823;0.2487;15.2280;1.5731;-0.0060;9.1332;265.8007;355.3142;True;True;15.0510;1.1862;0.1448;1.4188;273.9875;351.1177;0.0166;0.0707;0.0046;0.0000;True;True;15.0150;1.2432;-0.2155;349.8904;260.9136;2.9121;-0.0386;0.1229;0.1029;0.0000;1;En movimiento;7.0228;1.1179;-0.9387
60826;0.2912;15.2306;1.5731;-0.0057;9.1921;265.6079;355.3507;True;True;15.0518;1.1886;0.1451;0.8496;274.1325;350.9287;0.0202;0.0537;0.0094;0.0000;True;True;15.0139;1.2464;-0.2126;349.4609;260.8344;2.7413;-0.0214;0.0564;0.0584;0.0000;1;En movimiento;7.4049;1.1251;-0.9168
60829;0.3321;15.2330;1.5730;-0.0058;9.2978;265.3269;355.4878;True;True;15.0527;1.1900;0.1455;0.5403;274.3381;350.5084;0.0226;0.0281;0.0110;0.0000;True;True;15.0138;1.2466;-0.2116;349.6584;260.7696;3.0124;0.0077;-0.0232;0.0009;0.0000;1;En movimiento;7.7726;1.1045;-0.8958
60832;0.3739;15.2346;1.5728;-0.0069;9.3701;264.7163;355.7485;True;True;15.0537;1.1904;0.1458;0.6250;274.4395;350.1944;0.0266;0.0054;0.0059;0.0000;True;True;15.0143;1.2438;-0.2132;350.7646;259.9484;3.5409;0.0207;-0.0933;-0.0652;0.0000;1;En movimiento;8.1478;1.0982;-0.8743
60835;0.4155;15.2362;1.5725;-0.0084;9.4977;263.9233;356.0467;True;True;15.0546;1.1902;0.1460;0.6854;274.5121;350.0813;0.0187;-0.0116;0.0054;0.0000;True;True;15.0159;1.2389;-0.2173;352.0104;258.6462;3.6178;0.0488;-0.1226;-0.1144;0.0000;1;En movimiento;8.5214;1.0911;-0.8529
