Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
50413;0.0411;15.2885;1.5873;0.0292;1.8130;268.0427;351.9163;True;True;15.1143;1.1776;0.2290;11.4867;279.4758;346.1469;-0.0001;-0.0954;-0.1631;0.0000;True;True;15.1040;1.2098;-0.1791;6.3856;261.8120;17.5440;-0.1223;-0.0652;0.1745;0.0000;1;En movimiento;5.1496;1.1586;-0.9863
50416;0.0825;15.2898;1.5881;0.0290;1.2874;268.2358;352.1474;True;True;15.1145;1.1749;0.2216;11.6118;278.4845;346.5953;0.0060;-0.0560;-0.1788;0.0000;True;True;15.1005;1.2070;-0.1732;7.5431;262.4008;17.1743;-0.0606;-0.0588;0.1306;0.0000;1;En movimiento;5.5131;1.1600;-0.9053
50419;0.1238;15.2909;1.5883;0.0288;1.0353;268.5031;352.6555;True;True;15.1149;1.1742;0.2148;11.3159;277.5851;347.5563;0.0130;0.0081;-0.1554;0.0000;True;True;15.0992;1.2059;-0.1679;7.4086;263.1000;16.9293;-0.0214;-0.0175;0.1113;0.0000;1;En movimiento;5.8758;1.1614;-0.8245
50422;0.1656;15.2918;1.5879;0.0286;1.0481;268.8031;353.1287;True;True;15.1157;1.1752;0.2098;10.3099;277.7286;348.6199;0.0167;0.0258;-0.1062;0.0000;True;True;15.0991;1.2050;-0.1650;7.1600;262.3331;15.3715;-0.0017;-0.0329;0.0614;0.0000;1;En movimiento;6.2431;1.1704;-0.7427
50425;0.2080;15.2926;1.5873;0.0286;1.1441;269.1643;353.4145;True;True;15.1164;1.1768;0.2063;9.4289;277.9647;350.0505;0.0177;0.0502;-0.0840;0.0000;True;True;15.0991;1.2030;-0.1633;7.3554;262.3524;15.9009;-0.0023;-0.0709;0.0103;0.0000;1;En movimiento;6.6156;1.1637;-0.6597
50428;0.2493;15.2934;1.5864;0.0288;1.3692;269.6456;353.4126;True;True;15.1170;1.1785;0.2049;8.4480;278.5350;351.5557;0.0113;0.0360;-0.0068;0.0000;True;True;15.0990;1.2001;-0.1631;7.9348;261.3620;15.9314;0.0005;-0.0691;0.0130;0.0000;1;En movimiento;6.9782;1.1652;-0.5789
50431;0.2908;15.2940;1.5857;0.0293;1.6019;270.1548;353.4337;True;True;15.1177;1.1799;0.2058;7.9674;279.3442;352.3709;0.0150;0.0285;0.0187;0.0000;True;True;15.0989;1.1966;-0.1626;8.5924;260.8551;15.3799;-0.0053;-0.0824;-0.0043;0.0000;1;En movimiento;7.3425;1.1659;-0.4977
50434;0.3324;15.2946;1.5852;0.0296;1.6901;270.6956;353.4240;True;True;15.1182;1.1805;0.2071;7.8790;279.1914;352.1896;0.0068;-0.0028;0.0380;0.0000;True;True;15.0993;1.1934;-0.1630;9.1789;261.5399;16.0634;0.0034;-0.0676;-0.0063;0.0000;1;En movimiento;7.7078;1.1675;-0.4163
50437;0.3744;15.2948;1.5847;0.0301;1.7079;271.2666;353.3961;True;True;15.1190;1.1802;0.2089;7.9368;279.8103;352.8873;0.0144;-0.0204;0.0324;0.0000;True;True;15.1001;1.1913;-0.1642;9.5469;261.2782;16.2512;0.0197;-0.0438;-0.0437;0.0000;1;En movimiento;8.0770;1.1867;-0.3341
50440;0.4170;15.2948;1.5844;0.0308;1.8178;271.9878;353.3980;True;True;15.1197;1.1790;0.2103;8.2148;280.1375;353.5098;0.0202;-0.0310;0.0447;0.0000;True;True;15.1005;1.1899;-0.1663;9.7626;260.6820;16.3638;0.0079;-0.0341;-0.0467;0.0000;1;En movimiento;8.4512;1.1702;-0.2507
50443;0.4569;15.2946;1.5854;0.0326;2.0722;272.9356;353.4286;True;True;15.1207;1.1778;0.2154;8.3043;281.7042;353.9710;0.0250;-0.0257;0.1888;0.0000;True;True;15.1002;1.1885;-0.1685;10.0742;260.5216;16.7654;-0.0180;-0.0353;-0.0584;0.0000;1;En movimiento;8.8015;1.1715;-0.1727
50446;0.4990;15.2935;1.5869;0.0353;2.0690;274.1485;353.1780;True;True;15.1222;1.1763;0.2259;8.8791;285.6261;353.4133;0.0527;-0.0261;0.3028;0.0000;True;True;15.0986;1.1868;-0.1712;11.0815;260.1188;17.2232;-0.0499;-0.0434;-0.0635;0.0000;1;En movimiento;9.1707;1.1732;-0.0904
50449;0.5402;15.2916;1.5877;0.0394;1.9191;275.6131;352.5160;True;True;15.1224;1.1725;0.2428;13.2889;288.0290;351.2759;0.0841;-0.0023;0.4317;0.0000;True;True;15.0962;1.1850;-0.1732;12.4180;260.0431;18.2976;-0.0640;-0.0425;-0.0375;0.0000;1;En movimiento;9.5333;1.2001;-0.0097
50452;0.5825;15.2894;1.5860;0.0452;1.9168;277.6299;351.5534;True;True;15.1255;1.1735;0.2677;13.0802;292.6514;354.3342;0.1112;0.0427;0.7392;0.0000;True;True;15.0928;1.1827;-0.1733;13.0966;260.7748;19.0057;-0.1041;-0.0740;0.0154;0.0000;1;En movimiento;9.9042;1.1759;0.0730
50455;0.6233;15.2868;1.5824;0.0537;2.3433;279.7890;351.0899;True;True;15.1318;1.1789;0.3039;9.3373;299.1838;358.2154;0.1517;0.1154;1.0071;0.0000;True;True;15.0874;1.1781;-0.1718;13.3100;260.7488;17.3741;-0.1592;-0.1403;0.0507;0.0000;1;En movimiento;10.2627;1.1774;0.1528
50458;0.6651;15.2848;1.5780;0.0651;3.6095;282.1516;351.5659;True;True;15.1349;1.1853;0.3546;9.9293;307.9547;0.7793;0.1129;0.2492;1.3393;0.0000;True;True;15.0803;1.1723;-0.1687;14.9383;260.2897;15.2435;-0.1709;-0.1320;0.0957;0.0000;1;En movimiento;10.6302;1.2103;0.2347
50461;0.7067;15.2838;1.5758;0.0805;4.8601;284.1523;352.0805;True;True;15.1405;1.1967;0.4147;8.8568;315.4272;1.3618;0.1666;0.3130;1.4987;0.0000;True;True;15.0742;1.1704;-0.1633;17.0737;260.6927;14.1089;-0.1156;0.0204;0.1380;0.0000;1;En movimiento;10.9951;1.1802;0.3160
50464;0.7499;15.2837;1.5737;0.0998;6.0104;286.5987;352.1419;True;True;15.1467;1.2083;0.4846;9.3891;323.7904;1.3134;0.1627;0.3068;1.7713;0.0000;True;True;15.0724;1.1764;-0.1557;16.7588;259.7702;13.1927;-0.0251;0.1901;0.2194;0.0000;1;En movimiento;11.3750;1.2173;0.4006
