Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
30488;0.0427;15.2850;1.5762;-0.0106;9.3125;264.6233;354.5515;True;True;15.0708;1.2332;0.2180;356.7394;293.1237;349.3772;0.1084;-0.1480;0.3019;0.0000;True;True;15.0318;1.2761;-0.2774;346.9196;247.9384;9.2406;0.0893;-0.0571;-0.0552;0.0000;1;En movimiento;5.1730;1.1621;-1.0697
30491;0.0843;15.2838;1.5771;-0.0101;8.8285;265.0689;354.4793;True;True;15.0759;1.2279;0.2290;357.8025;296.5532;347.1891;0.1187;-0.1043;0.2297;0.0000;True;True;15.0353;1.2737;-0.2798;347.0378;246.5759;9.0852;0.0782;-0.0593;-0.0599;0.0000;1;En movimiento;5.5472;1.1622;-1.0726
30494;0.1259;15.2827;1.5777;-0.0098;8.5093;265.3799;354.4470;True;True;15.0806;1.2242;0.2379;358.1595;298.8257;346.5591;0.1139;-0.0900;0.2110;0.0000;True;True;15.0381;1.2711;-0.2823;347.3235;245.7894;9.7250;0.0638;-0.0609;-0.0552;0.0000;1;En movimiento;5.9209;1.1645;-1.0755
30497;0.1669;15.2818;1.5784;-0.0096;8.2397;265.5635;354.4453;True;True;15.0850;1.2215;0.2445;358.4201;300.3193;345.3227;0.0946;-0.0551;0.1296;0.0000;True;True;15.0405;1.2685;-0.2845;347.2679;244.1879;9.0366;0.0419;-0.0631;-0.0583;0.0000;1;En movimiento;6.2896;1.1743;-1.0783
30500;0.2093;15.2807;1.5790;-0.0094;7.9902;265.6687;354.5102;True;True;15.0883;1.2202;0.2482;358.6371;301.1871;345.0865;0.0710;-0.0247;0.0748;0.0000;True;True;15.0421;1.2656;-0.2874;348.1759;243.6953;9.6460;0.0357;-0.0732;-0.0756;0.0000;1;En movimiento;6.6712;1.1686;-1.0813
30503;0.2504;15.2794;1.5795;-0.0095;7.8019;265.5756;354.6960;True;True;15.0902;1.2204;0.2490;358.4915;300.9221;345.5302;0.0353;0.0140;-0.0034;0.0000;True;True;15.0440;1.2629;-0.2902;349.0725;242.9013;10.3704;0.0541;-0.0573;-0.0554;0.0000;1;En movimiento;7.0410;1.1710;-1.0841
30506;0.2926;15.2780;1.5801;-0.0103;7.8095;264.9893;354.9405;True;True;15.0909;1.2214;0.2473;357.8558;300.9608;347.0143;0.0062;0.0265;-0.0566;0.0000;True;True;15.0468;1.2603;-0.2922;349.9513;242.0717;10.5056;0.0707;-0.0728;-0.0553;0.0000;1;En movimiento;7.4207;1.1871;-1.0871
30509;0.3352;15.2761;1.5807;-0.0120;7.7747;264.1687;355.0559;True;True;15.0900;1.2221;0.2443;357.1751;300.5917;348.0126;-0.0393;0.0133;-0.0901;0.0000;True;True;15.0509;1.2569;-0.2945;351.2775;240.9219;10.4884;0.1289;-0.0876;-0.0666;0.0000;1;En movimiento;7.8047;1.1755;-1.0900
30512;0.3757;15.2737;1.5828;-0.0157;8.2135;262.7856;355.5900;True;True;15.0857;1.2217;0.2390;356.6046;300.4442;349.5860;-0.1748;-0.0188;-0.1517;0.0000;True;True;15.0585;1.2518;-0.2995;352.7305;239.0588;10.1494;0.1947;-0.1616;-0.1749;0.0000;1;En movimiento;8.1687;1.1778;-1.0929
30515;0.4175;15.2691;1.5836;-0.0225;6.8673;261.0636;356.1577;True;True;15.0756;1.2192;0.2330;357.7876;300.2684;349.8969;-0.2661;-0.0683;-0.1646;0.0000;True;True;15.0655;1.2435;-0.3091;355.9893;238.6754;10.4575;0.1838;-0.1968;-0.2582;0.0000;1;En movimiento;8.5450;1.1998;-1.0958
