Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
86891;0.0418;15.3207;1.5869;0.0377;1.7823;266.0757;356.6446;True;True;15.1253;1.0754;0.2715;20.0768;291.8840;354.8209;0.0453;0.2345;0.2014;0.0000;True;True;15.1023;1.1494;-0.2627;5.2012;262.3380;28.5745;-0.0833;0.0394;0.3198;0.0000;1;En movimiento;4.9135;1.1617;-1.0691
86894;0.0834;15.3200;1.5867;0.0430;1.8399;266.1192;356.6551;True;True;15.1268;1.0831;0.2803;18.5008;293.9821;355.4024;0.0295;0.1769;0.2079;0.0000;True;True;15.0986;1.1477;-0.2539;8.5083;262.4506;23.1357;-0.0859;-0.0767;0.1746;0.0000;1;En movimiento;5.0380;1.1617;-1.0714
86897;0.1251;15.3189;1.5865;0.0482;1.7867;266.1790;356.6901;True;True;15.1275;1.0875;0.2871;18.4164;296.0575;357.5548;0.0154;0.0839;0.1439;0.0000;True;True;15.0959;1.1469;-0.2485;8.6860;261.1719;25.3267;-0.0773;-0.0482;0.1334;0.0000;1;En movimiento;5.1628;1.1639;-1.0737
86900;0.1660;15.3178;1.5865;0.0534;1.7316;266.1966;356.6174;True;True;15.1277;1.0908;0.2917;18.5137;297.9970;1.1308;0.0031;0.0763;0.0956;0.0000;True;True;15.0943;1.1467;-0.2424;9.8504;261.8145;28.5408;-0.0153;-0.0059;0.1653;0.0000;1;En movimiento;5.2853;1.1735;-1.0760
86903;0.2084;15.3163;1.5867;0.0585;1.7736;266.1152;356.6359;True;True;15.1281;1.0929;0.2943;18.4587;297.2170;1.2260;0.0079;0.0248;0.0419;0.0000;True;True;15.0938;1.1482;-0.2332;9.5179;261.8062;26.8927;-0.0151;0.0252;0.2377;0.0000;1;En movimiento;5.4122;1.1677;-1.0784
86906;0.2495;15.3145;1.5862;0.0631;1.7351;265.9818;356.7292;True;True;15.1278;1.0926;0.2954;19.0151;295.9442;2.2137;-0.0051;-0.0185;0.0292;0.0000;True;True;15.0944;1.1494;-0.2239;9.3955;261.7710;23.9348;0.0223;0.0238;0.2203;0.0000;1;En movimiento;5.5352;1.1698;-1.0807
86909;0.2913;15.3121;1.5865;0.0672;1.7358;265.8367;356.6266;True;True;15.1278;1.0898;0.2968;19.3970;296.1328;3.9590;-0.0044;-0.0859;0.0265;0.0000;True;True;15.0960;1.1496;-0.2153;9.1195;262.6306;24.0960;0.0455;0.0146;0.2020;0.0000;1;En movimiento;5.6601;1.1857;-1.0831
86912;0.3334;15.3095;1.5866;0.0706;1.4774;265.7798;356.4129;True;True;15.1265;1.0849;0.2963;19.9130;295.6374;6.5405;-0.0391;-0.1358;-0.0106;0.0000;True;True;15.0978;1.1489;-0.2077;9.1079;262.3209;21.6285;0.0362;-0.0287;0.1680;0.0000;1;En movimiento;5.7862;1.1738;-1.0854
86915;0.3743;15.3067;1.5863;0.0726;1.2427;265.6953;356.1373;True;True;15.1251;1.0790;0.2968;21.4185;296.6421;9.4376;-0.0377;-0.1208;0.0380;0.0000;True;True;15.0999;1.1472;-0.2011;9.8764;261.4404;18.5507;0.0531;-0.0337;0.1506;0.0000;1;En movimiento;5.9088;1.1760;-1.0877
86918;0.4162;15.3039;1.5860;0.0735;1.2729;265.6053;355.6757;True;True;15.1243;1.0746;0.2958;23.2431;296.2747;8.2876;-0.0074;-0.0695;-0.0660;0.0000;True;True;15.1020;1.1454;-0.1969;9.8194;262.3149;17.7475;0.0606;-0.0438;0.0843;0.0000;1;En movimiento;6.0343;1.1979;-1.0901
86921;0.4578;15.3015;1.5854;0.0731;1.5125;265.4984;355.2095;True;True;15.1231;1.0712;0.2923;23.4466;294.2080;7.8896;-0.0363;-0.0673;-0.0960;0.0000;True;True;15.1050;1.1437;-0.1943;9.9650;261.9415;15.7886;0.0686;-0.0456;0.0488;0.0000;1;En movimiento;6.1587;1.1801;-1.0924
86924;0.4997;15.2997;1.5853;0.0716;1.9182;265.2532;355.0710;True;True;15.1224;1.0704;0.2881;25.1213;293.1232;7.9577;-0.0093;0.0109;-0.0960;0.0000;True;True;15.1079;1.1421;-0.1945;10.2080;261.3591;14.5076;0.0735;-0.0312;-0.0295;0.0000;1;En movimiento;6.2841;1.1826;-1.0947
86927;0.5417;15.2977;1.5863;0.0695;1.9016;264.9601;355.0814;True;True;15.1218;1.0719;0.2840;24.8633;292.6888;6.7306;-0.0117;0.0380;-0.0951;0.0000;True;True;15.1112;1.1404;-0.1969;10.6050;260.8340;14.6888;0.0721;-0.0528;-0.0668;0.0000;1;En movimiento;6.4098;1.2104;-1.0971
86930;0.5837;15.2961;1.5877;0.0671;1.8350;264.4694;355.4172;True;True;15.1213;1.0738;0.2782;24.4786;290.6105;5.0285;-0.0194;0.0175;-0.1362;0.0000;True;True;15.1139;1.1385;-0.2000;11.6388;259.1279;14.2038;0.0625;-0.0476;-0.0708;0.0000;1;En movimiento;6.5354;1.1869;-1.0994
86933;0.6248;15.2951;1.5881;0.0646;1.7030;263.8120;355.6845;True;True;15.1212;1.0752;0.2718;24.8256;287.9149;2.1743;-0.0146;0.0005;-0.1378;0.0000;True;True;15.1167;1.1381;-0.2012;11.4970;258.4170;11.8538;0.0607;-0.0031;-0.0213;0.0000;1;En movimiento;6.6586;1.1893;-1.1017
86936;0.6668;15.2944;1.5880;0.0622;1.7758;263.1818;355.5894;True;True;15.1201;1.0738;0.2638;24.9423;286.3663;0.4507;-0.0438;-0.0669;-0.2223;0.0000;True;True;15.1192;1.1369;-0.2017;11.0936;259.3434;11.7282;0.0569;-0.0398;0.0025;0.0000;1;En movimiento;6.7842;1.2229;-1.1041
