Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
56640;0.0416;15.1944;1.5755;-0.0234;7.4018;274.7414;354.7135;True;True;15.0488;1.1624;0.1597;11.9697;282.5664;350.5960;0.0255;0.0040;0.0281;0.0000;True;True;15.0229;1.1803;-0.2112;11.8101;262.5359;28.6493;0.0113;-0.0002;0.0267;0.0000;1;En movimiento;5.1577;1.1732;-1.0066
56643;0.0832;15.1956;1.5758;-0.0223;7.2454;274.9999;354.6449;True;True;15.0501;1.1627;0.1612;11.9533;282.7322;350.4314;0.0330;0.0121;0.0380;0.0000;True;True;15.0231;1.1802;-0.2101;11.7541;262.6551;28.7069;0.0054;0.0001;0.0293;0.0000;1;En movimiento;5.5264;1.1918;-0.9465
56646;0.1253;15.1969;1.5761;-0.0212;7.0982;275.3316;354.5459;True;True;15.0511;1.1632;0.1621;11.8714;282.8905;350.3769;0.0232;0.0140;0.0161;0.0000;True;True;15.0234;1.1806;-0.2089;11.6512;262.7361;28.5609;0.0061;0.0140;0.0294;0.0000;1;En movimiento;5.8998;1.2030;-0.8856
56649;0.1657;15.1982;1.5765;-0.0200;6.9708;275.6670;354.4516;True;True;15.0524;1.1643;0.1630;11.6826;283.0045;350.6774;0.0294;0.0270;0.0280;0.0000;True;True;15.0234;1.1813;-0.2080;11.4189;262.6712;28.3408;-0.0020;0.0149;0.0149;0.0000;1;En movimiento;6.2576;1.2176;-0.8273
56652;0.2087;15.1992;1.5768;-0.0191;6.9462;276.0104;354.3902;True;True;15.0536;1.1655;0.1645;11.3257;283.2757;350.7176;0.0267;0.0256;0.0360;0.0000;True;True;15.0231;1.1819;-0.2074;11.2964;262.7016;28.3919;-0.0065;0.0178;0.0129;0.0000;1;En movimiento;6.6389;1.2430;-0.7652
56655;0.2493;15.2002;1.5771;-0.0183;6.9018;276.2856;354.3906;True;True;15.0544;1.1661;0.1661;11.2043;283.6503;350.8005;0.0133;0.0104;0.0403;0.0000;True;True;15.0226;1.1830;-0.2071;11.1439;262.7154;28.3909;-0.0160;0.0271;0.0023;0.0000;1;En movimiento;6.9992;1.2475;-0.7065
56658;0.2907;15.2012;1.5776;-0.0176;6.7592;276.5643;354.3211;True;True;15.0550;1.1666;0.1682;11.0695;284.0213;350.8859;0.0211;0.0099;0.0531;0.0000;True;True;15.0219;1.1840;-0.2071;10.9742;262.4819;28.4050;-0.0147;0.0151;0.0006;0.0000;1;En movimiento;7.3668;1.2627;-0.6466
56661;0.3324;15.2021;1.5778;-0.0171;6.6172;276.8204;354.3794;True;True;15.0559;1.1669;0.1706;10.9290;284.5714;350.9663;0.0198;0.0067;0.0666;0.0000;True;True;15.0212;1.1847;-0.2069;10.9108;262.5516;28.5769;-0.0185;0.0178;0.0066;0.0000;1;En movimiento;7.7364;1.2780;-0.5863
56664;0.3740;15.2031;1.5785;-0.0165;6.3642;277.0935;354.4108;True;True;15.0570;1.1683;0.1743;10.5530;285.3925;351.9613;0.0325;0.0489;0.1070;0.0000;True;True;15.0204;1.1854;-0.2064;10.7982;262.5013;28.3986;-0.0159;0.0122;0.0124;0.0000;1;En movimiento;8.1052;1.2926;-0.5262
56667;0.4157;15.2040;1.5794;-0.0161;6.1352;277.4002;354.3743;True;True;15.0583;1.1702;0.1807;9.7081;286.5396;352.6648;0.0244;0.0401;0.1697;0.0000;True;True;15.0198;1.1859;-0.2057;10.6872;262.6044;28.5274;-0.0191;0.0172;0.0225;0.0000;1;En movimiento;8.4750;1.3080;-0.4660
56670;0.4575;15.2047;1.5803;-0.0155;5.8147;277.9040;354.3112;True;True;15.0594;1.1720;0.1891;9.5852;288.2075;353.5515;0.0284;0.0488;0.2146;0.0000;True;True;15.0192;1.1861;-0.2049;10.5862;262.6674;28.6091;-0.0138;-0.0009;0.0193;0.0000;1;En movimiento;8.8462;1.3235;-0.4055
56673;0.4995;15.2056;1.5810;-0.0145;5.4704;278.7212;354.2438;True;True;15.0608;1.1750;0.1995;9.1241;289.9278;354.5465;0.0339;0.0788;0.2799;0.0000;True;True;15.0179;1.1853;-0.2033;10.6871;262.7782;28.7178;-0.0438;-0.0316;0.0529;0.0000;1;En movimiento;9.2187;1.3383;-0.3448
56676;0.5415;15.2064;1.5818;-0.0132;5.0884;279.6960;354.1346;True;True;15.0623;1.1794;0.2130;8.1135;292.5335;356.8272;0.0479;0.1441;0.3937;0.0000;True;True;15.0166;1.1841;-0.2016;10.8004;263.0064;28.8259;-0.0269;-0.0323;0.0393;0.0000;1;En movimiento;9.5908;1.3539;-0.2842
56679;0.5817;15.2070;1.5821;-0.0123;4.7447;280.7769;354.1656;True;True;15.0648;1.1866;0.2305;6.2503;296.4473;358.8733;0.0533;0.1870;0.4270;0.0000;True;True;15.0155;1.1829;-0.2001;10.8505;262.9605;29.1003;-0.0306;-0.0323;0.0390;0.0000;1;En movimiento;9.9471;1.3686;-0.2261
56682;0.6240;15.2079;1.5826;-0.0106;4.6038;281.8551;354.2347;True;True;15.0671;1.1976;0.2506;4.6392;299.4720;0.9225;0.0652;0.3081;0.5236;0.0000;True;True;15.0144;1.1817;-0.1986;11.0504;262.9154;29.4627;-0.0262;-0.0257;0.0368;0.0000;1;En movimiento;10.3225;1.4135;-0.1649
56685;0.6653;15.2090;1.5830;-0.0085;4.2978;282.9641;354.2013;True;True;15.0703;1.2136;0.2750;2.6898;303.9709;2.8519;0.1141;0.4325;0.5689;0.0000;True;True;15.0132;1.1808;-0.1970;11.2057;262.8245;29.6538;-0.0337;-0.0172;0.0430;0.0000;1;En movimiento;10.6884;1.3990;-0.1053
56688;0.7073;15.2102;1.5833;-0.0060;4.0108;284.1790;354.2301;True;True;15.0742;1.2371;0.3025;358.7134;306.7651;7.1382;0.0702;0.5798;0.7235;0.0000;True;True;15.0118;1.1802;-0.1948;11.3089;262.8773;29.3969;-0.0319;-0.0107;0.0517;0.0000;1;En movimiento;11.0616;1.4148;-0.0445
56691;0.7493;15.2118;1.5839;-0.0026;3.5736;285.4174;354.3048;True;True;15.0823;1.2698;0.3364;353.7596;311.8741;10.0159;0.1668;0.8101;0.8370;0.0000;True;True;15.0105;1.1803;-0.1930;11.2449;262.7950;29.1584;-0.0318;0.0090;0.0420;0.0000;1;En movimiento;11.4340;1.4298;0.0162
56694;0.7907;15.2135;1.5847;0.0018;3.0424;286.9952;354.1357;True;True;15.0927;1.3115;0.3737;349.0783;318.6177;10.7574;0.2621;1.0102;0.8644;0.0000;True;True;15.0091;1.1814;-0.1914;11.1414;262.5912;28.5724;-0.0241;0.0357;0.0311;0.0000;1;En movimiento;11.8008;1.4452;0.0760
56697;0.8325;15.2156;1.5854;0.0074;2.5179;288.8889;353.9693;True;True;15.1039;1.3614;0.4097;343.1614;324.4469;10.4744;0.2456;1.2758;0.8601;0.0000;True;True;15.0079;1.1828;-0.1899;10.4700;262.2401;27.8143;-0.0347;0.0357;0.0417;0.0000;1;En movimiento;12.1715;1.4609;0.1364
56700;0.8740;15.2182;1.5867;0.0141;1.8821;291.1215;353.7148;True;True;15.1111;1.4155;0.4432;337.5614;329.2552;8.3265;0.1333;1.3153;0.7502;0.0000;True;True;15.0063;1.1838;-0.1882;9.9830;261.7350;26.8186;-0.0399;0.0193;0.0411;0.0000;1;En movimiento;12.5400;1.4758;0.1964
56703;0.9155;15.2215;1.5879;0.0221;1.2835;293.7761;353.6257;True;True;15.1115;1.4733;0.4736;333.0926;332.5542;9.7377;-0.0115;1.3528;0.7035;0.0000;True;True;15.0040;1.1844;-0.1859;10.0238;261.2476;26.3636;-0.0504;0.0189;0.0584;0.0000;1;En movimiento;12.9079;1.4913;0.2564
56706;0.9575;15.2255;1.5893;0.0312;0.5748;296.6290;353.9114;True;True;15.1065;1.5326;0.5045;332.2139;336.4801;10.5208;-0.1731;1.4718;0.7532;0.0000;True;True;15.0019;1.1858;-0.1828;9.9667;260.7016;25.9239;-0.0517;0.0441;0.0853;0.0000;1;En movimiento;13.2801;1.5071;0.3170
56709;0.9997;15.2302;1.5917;0.0417;359.6462;299.7628;353.9915;True;True;15.1008;1.5953;0.5356;331.4680;338.5363;13.0568;-0.0985;1.6162;0.7976;0.0000;True;True;14.9996;1.1885;-0.1786;10.1541;260.4844;25.6439;-0.0497;0.0822;0.1083;0.0000;1;En movimiento;13.6546;1.5224;0.3781
56712;1.0404;15.2350;1.5957;0.0537;358.1465;303.3777;353.8552;True;True;15.1005;1.6612;0.5712;329.6388;342.0120;9.8936;0.0181;1.5663;0.9061;0.0000;True;True;14.9980;1.1924;-0.1737;10.2816;261.1194;26.5081;-0.0382;0.0954;0.1259;0.0000;1;En movimiento;14.0157;1.5376;0.4369
