Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
58717;0.0421;15.2386;1.5825;-0.0361;7.3612;276.5963;352.9326;True;True;15.0989;1.1783;0.0949;4.5990;278.2328;356.5916;0.0364;0.0214;-0.0051;0.0000;True;True;15.0582;1.1881;-0.2469;4.9304;255.9825;12.2929;0.0012;0.0028;0.0101;0.0000;1;En movimiento;5.1623;1.1592;-1.0061
58720;0.0842;15.2383;1.5823;-0.0370;7.5041;276.4771;352.9838;True;True;15.1001;1.1799;0.0949;4.1108;278.4306;356.5939;0.0222;0.0395;0.0042;0.0000;True;True;15.0582;1.1883;-0.2467;4.9859;256.0275;12.2456;-0.0087;0.0045;-0.0013;0.0000;1;En movimiento;5.5359;1.1567;-0.9455
58723;0.1254;15.2377;1.5827;-0.0376;7.4613;276.3870;352.9907;True;True;15.1005;1.1815;0.0957;3.7897;278.8521;356.8523;0.0053;0.0423;0.0273;0.0000;True;True;15.0578;1.1885;-0.2469;4.9996;256.0794;12.2283;-0.0069;0.0016;-0.0046;0.0000;1;En movimiento;5.9026;1.1563;-0.8860
58726;0.1663;15.2369;1.5831;-0.0382;7.3094;276.2935;352.9279;True;True;15.1001;1.1830;0.0970;4.2940;279.7188;356.6500;0.0032;0.0518;0.0199;0.0000;True;True;15.0572;1.1886;-0.2473;5.0874;256.0744;12.2277;-0.0172;0.0007;-0.0150;0.0000;1;En movimiento;6.2658;1.1559;-0.8270
58729;0.2084;15.2358;1.5830;-0.0389;7.3210;276.1745;352.9017;True;True;15.1000;1.1848;0.0976;3.6712;279.6096;356.7387;-0.0057;0.0457;0.0124;0.0000;True;True;15.0564;1.1884;-0.2482;5.2876;255.7313;12.2010;-0.0145;-0.0048;-0.0168;0.0000;1;En movimiento;6.6396;1.1549;-0.7664
58732;0.2497;15.2344;1.5825;-0.0393;7.4109;276.0663;352.8274;True;True;15.0992;1.1860;0.0986;3.2716;280.1884;357.0086;-0.0286;0.0161;0.0244;0.0000;True;True;15.0561;1.1882;-0.2489;5.4566;255.2557;12.1028;-0.0042;-0.0032;-0.0171;0.0000;1;En movimiento;7.0060;1.1545;-0.7070
58735;0.2914;15.2331;1.5815;-0.0398;7.6668;275.8847;352.8158;True;True;15.0973;1.1861;0.0992;4.0413;280.5674;356.7440;-0.0524;0.0011;0.0068;0.0000;True;True;15.0565;1.1881;-0.2497;5.4681;254.7273;12.3151;0.0201;-0.0048;-0.0162;0.0000;1;En movimiento;7.3769;1.1543;-0.6468
58738;0.3330;15.2318;1.5802;-0.0406;8.1461;275.5755;352.9479;True;True;15.0962;1.1864;0.0983;4.3252;280.2624;356.8053;-0.0171;0.0051;-0.0281;0.0000;True;True;15.0575;1.1874;-0.2502;5.4349;254.2418;12.3024;0.0243;-0.0261;-0.0096;0.0000;1;En movimiento;7.7465;1.1533;-0.5868
58741;0.3744;15.2310;1.5792;-0.0408;8.7296;275.1497;353.0519;True;True;15.0949;1.1863;0.0971;4.0075;279.9734;357.7654;-0.0304;-0.0011;-0.0200;0.0000;True;True;15.0592;1.1864;-0.2505;5.8538;253.8602;12.4215;0.0441;-0.0176;-0.0047;0.0000;1;En movimiento;8.1137;1.1531;-0.5272
58744;0.4161;15.2306;1.5786;-0.0407;9.1506;274.8700;352.9789;True;True;15.0940;1.1871;0.0984;3.8249;280.7620;358.9684;-0.0118;0.0406;0.0738;0.0000;True;True;15.0616;1.1859;-0.2504;5.9438;253.6471;12.4079;0.0639;-0.0126;0.0010;0.0000;1;En movimiento;8.4845;1.1529;-0.4671
58747;0.4581;15.2306;1.5784;-0.0394;9.2084;274.7930;352.9209;True;True;15.0944;1.1887;0.1066;3.3662;281.6815;357.1527;0.0101;0.0185;0.2603;0.0000;True;True;15.0640;1.1853;-0.2509;5.8519;253.4329;12.0994;0.0550;-0.0173;-0.0181;0.0000;1;En movimiento;8.8573;1.1521;-0.4066
