Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
17788;0.0421;15.2924;1.6015;-0.0438;358.7042;267.0443;355.2021;True;True;15.2499;0.7744;0.2407;56.6977;336.7349;64.3527;0.0074;-0.0058;-0.0135;0.0000;True;True;15.1325;1.0196;-0.3044;36.4389;254.4008;38.4019;-0.0398;-0.0051;0.0143;0.0000;1;En movimiento;5.1651;1.1688;-1.0270
17791;0.0830;15.2935;1.6018;-0.0440;358.5754;267.1715;355.3327;True;True;15.2493;0.7751;0.2388;56.8417;336.4321;63.5261;0.0007;-0.0003;-0.0290;0.0000;True;True;15.1307;1.0191;-0.3036;36.6722;254.7150;38.7557;-0.0387;-0.0080;0.0207;0.0000;1;En movimiento;5.5306;1.1797;-0.9884
17794;0.1247;15.2946;1.6017;-0.0438;358.5925;267.3334;355.4420;True;True;15.2493;0.7750;0.2366;57.1705;336.1443;62.5356;-0.0022;-0.0021;-0.0574;0.0000;True;True;15.1292;1.0189;-0.3029;37.1675;254.6382;38.7604;-0.0340;-0.0051;0.0110;0.0000;1;En movimiento;5.9032;1.1965;-0.9491
17797;0.1661;15.2954;1.6019;-0.0434;358.5541;267.5233;355.4624;True;True;15.2488;0.7747;0.2334;57.4937;335.6432;61.9182;-0.0082;-0.0086;-0.0791;0.0000;True;True;15.1281;1.0189;-0.3025;37.3696;254.7427;39.4189;-0.0222;0.0095;0.0122;0.0000;1;En movimiento;6.2737;1.2014;-0.9100
17800;0.2079;15.2961;1.6020;-0.0430;358.4496;267.7095;355.3791;True;True;15.2488;0.7739;0.2306;57.7213;335.0808;62.0307;0.0044;-0.0185;-0.0602;0.0000;True;True;15.1276;1.0194;-0.3022;37.4674;254.7294;39.7877;-0.0022;0.0169;0.0049;0.0000;1;En movimiento;6.6474;1.2127;-0.8706
17803;0.2497;15.2966;1.6024;-0.0429;358.3795;267.8680;355.3036;True;True;15.2490;0.7731;0.2284;57.8362;334.8112;62.6000;0.0054;-0.0150;-0.0475;0.0000;True;True;15.1275;1.0202;-0.3021;37.2512;254.6640;39.9663;0.0030;0.0243;0.0060;0.0000;1;En movimiento;7.0205;1.2357;-0.8312
17806;0.2909;15.2967;1.6023;-0.0426;358.3727;267.8989;355.2342;True;True;15.2491;0.7722;0.2268;58.1241;334.5739;63.0658;0.0036;-0.0188;-0.0311;0.0000;True;True;15.1279;1.0208;-0.3018;37.0076;254.7124;40.0071;0.0118;0.0080;0.0047;0.0000;1;En movimiento;7.3890;1.2345;-0.7923
17809;0.3326;15.2968;1.6022;-0.0426;358.4440;267.8295;355.1766;True;True;15.2489;0.7718;0.2259;58.1367;334.5016;63.5781;0.0048;-0.0057;-0.0099;0.0000;True;True;15.1290;1.0210;-0.3018;37.0031;254.7339;39.9292;0.0316;-0.0007;-0.0029;0.0000;1;En movimiento;7.7625;1.2459;-0.7529
17812;0.3744;15.2966;1.6020;-0.0426;358.4689;267.6989;355.1632;True;True;15.2487;0.7716;0.2258;58.0983;334.1635;63.9690;-0.0052;-0.0029;0.0076;0.0000;True;True;15.1316;1.0198;-0.3028;37.2438;254.4908;39.8556;0.0712;-0.0383;-0.0315;0.0000;1;En movimiento;8.1355;1.2573;-0.7135
17815;0.4158;15.2964;1.6022;-0.0430;358.4554;267.6223;355.1457;True;True;15.2483;0.7726;0.2256;57.9961;334.1548;64.0074;-0.0057;0.0329;-0.0071;0.0000;True;True;15.1340;1.0183;-0.3041;37.6252;254.1679;39.7753;0.0573;-0.0354;-0.0347;0.0000;1;En movimiento;8.5063;1.2680;-0.6744
