Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
71628;0.0421;15.2658;1.5918;0.0048;3.8158;262.5625;353.7523;True;True;15.1891;0.7854;0.2272;56.2779;296.6964;22.0429;0.3465;-0.2055;-0.0308;0.0000;True;True;15.2650;0.7986;-0.2635;69.7260;215.1762;321.8110;0.0129;-0.0346;0.0100;0.0000;1;En movimiento;4.9143;1.1535;-1.0599
71631;0.0841;15.2659;1.5921;0.0039;3.5979;262.6069;353.8556;True;True;15.2026;0.7779;0.2271;58.6271;298.0323;23.2562;0.3074;-0.1666;0.0043;0.0000;True;True;15.2648;0.7976;-0.2631;69.8072;214.3810;320.5607;-0.0177;-0.0207;0.0106;0.0000;1;En movimiento;5.0403;1.1454;-1.0530
71634;0.1261;15.2659;1.5923;0.0031;3.3932;262.6987;353.8833;True;True;15.2139;0.7728;0.2280;60.1662;299.6665;24.9623;0.2853;-0.1174;0.0430;0.0000;True;True;15.2628;0.7975;-0.2629;69.5267;214.7021;320.3230;-0.0621;0.0059;0.0018;0.0000;1;En movimiento;5.1661;1.1394;-1.0462
71637;0.1678;15.2661;1.5925;0.0020;3.2445;262.7980;353.9142;True;True;15.2230;0.7695;0.2304;61.4095;301.3332;26.5072;0.2115;-0.0691;0.0673;0.0000;True;True;15.2598;0.7980;-0.2632;69.1824;215.7650;321.4796;-0.0865;0.0211;-0.0149;0.0000;1;En movimiento;5.2909;1.1410;-1.0394
71640;0.2084;15.2663;1.5926;0.0008;3.1477;262.9265;353.9110;True;True;15.2293;0.7679;0.2332;62.2116;303.2715;28.4786;0.1117;-0.0179;0.0655;0.0000;True;True;15.2558;0.7993;-0.2640;68.6903;216.8119;322.9693;-0.0905;0.0265;-0.0206;0.0000;1;En movimiento;5.4125;1.1268;-1.0327
71643;0.2513;15.2664;1.5926;-0.0003;3.1240;263.0719;353.9655;True;True;15.2323;0.7679;0.2365;62.3555;304.3470;29.6048;0.0429;0.0062;0.0805;0.0000;True;True;15.2514;0.8008;-0.2651;68.0354;218.0490;324.5927;-0.1022;0.0377;-0.0271;0.0000;1;En movimiento;5.5411;1.1209;-1.0257
71646;0.2922;15.2666;1.5926;-0.0017;3.0786;263.1365;354.1436;True;True;15.2324;0.7688;0.2401;62.3486;305.1561;30.0661;-0.0118;0.0332;0.0881;0.0000;True;True;15.2471;0.8022;-0.2663;67.4457;219.0717;326.0128;-0.1041;0.0349;-0.0281;0.0000;1;En movimiento;5.6636;1.1286;-1.0191
71649;0.3333;15.2671;1.5924;-0.0031;3.0949;263.1380;354.3872;True;True;15.2303;0.7708;0.2433;61.7469;306.1823;30.8290;-0.0820;0.0554;0.0691;0.0000;True;True;15.2429;0.8036;-0.2672;66.7014;219.5894;326.2931;-0.0978;0.0373;-0.0188;0.0000;1;En movimiento;5.7867;1.1085;-1.0124
71652;0.3738;15.2674;1.5922;-0.0045;3.2095;263.0620;354.6312;True;True;15.2261;0.7735;0.2458;60.9779;306.1325;30.5747;-0.1023;0.0643;0.0548;0.0000;True;True;15.2392;0.8048;-0.2679;66.0534;220.3924;326.7531;-0.0835;0.0242;-0.0211;0.0000;1;En movimiento;5.9082;1.1027;-1.0058
71655;0.4161;15.2679;1.5916;-0.0058;3.4838;262.9710;354.8117;True;True;15.2209;0.7765;0.2473;60.1467;306.1400;30.7264;-0.1383;0.0796;0.0280;0.0000;True;True;15.2361;0.8054;-0.2686;65.5544;220.3518;326.3825;-0.0701;0.0109;-0.0160;0.0000;1;En movimiento;6.0348;1.0969;-0.9989
