Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
78291;0.0421;15.2716;1.5869;0.0169;1.2632;268.6454;353.7144;True;True;15.0950;1.1923;0.1680;1.4158;276.4695;355.1006;-0.0282;0.0091;-0.0160;0.0000;True;True;15.0816;1.2384;-0.1405;352.7052;264.6257;14.2928;-0.0238;-0.0091;0.0394;0.0000;1;En movimiento;4.9142;1.1602;-1.0608
78294;0.0832;15.2713;1.5872;0.0173;1.1722;268.7077;353.6008;True;True;15.0944;1.1924;0.1666;1.3112;275.9973;356.8652;-0.0031;-0.0006;-0.0335;0.0000;True;True;15.0805;1.2378;-0.1382;352.8687;265.3231;13.9430;-0.0226;-0.0158;0.0538;0.0000;1;En movimiento;5.0371;1.1629;-1.0550
78297;0.1246;15.2711;1.5874;0.0173;1.1037;268.8468;353.6717;True;True;15.0942;1.1914;0.1646;1.6630;274.9229;356.7327;-0.0026;-0.0292;-0.0575;0.0000;True;True;15.0798;1.2372;-0.1362;352.9067;266.1129;13.2463;-0.0168;-0.0160;0.0425;0.0000;1;En movimiento;5.1608;1.1657;-1.0492
78300;0.1660;15.2707;1.5874;0.0173;1.1043;268.8424;353.7700;True;True;15.0942;1.1901;0.1622;1.9928;274.4076;357.2944;0.0030;-0.0316;-0.0458;0.0000;True;True;15.0790;1.2366;-0.1352;352.7729;266.5012;12.4706;-0.0234;-0.0161;0.0128;0.0000;1;En movimiento;5.2846;1.1678;-1.0434
78303;0.2077;15.2703;1.5872;0.0168;1.1741;268.7601;353.8445;True;True;15.0947;1.1889;0.1604;2.2379;274.2334;356.8652;0.0142;-0.0230;-0.0454;0.0000;True;True;15.0783;1.2360;-0.1351;353.0883;266.3222;12.4409;-0.0112;-0.0133;-0.0001;0.0000;1;En movimiento;5.4093;1.1707;-1.0375
78306;0.2499;15.2696;1.5871;0.0167;1.2518;268.6561;353.9239;True;True;15.0954;1.1880;0.1583;2.3925;273.9292;356.5335;0.0214;-0.0217;-0.0522;0.0000;True;True;15.0778;1.2354;-0.1351;353.6490;266.4458;12.3032;-0.0039;-0.0103;-0.0015;0.0000;1;En movimiento;5.5353;1.1737;-1.0316
78309;0.2914;15.2690;1.5869;0.0165;1.4033;268.5611;354.0357;True;True;15.0968;1.1875;0.1565;2.4402;273.6154;356.5213;0.0365;-0.0077;-0.0377;0.0000;True;True;15.0778;1.2347;-0.1355;353.9395;266.7890;11.5050;0.0026;-0.0238;-0.0154;0.0000;1;En movimiento;5.6596;1.1902;-1.0258
78312;0.3327;15.2684;1.5865;0.0165;1.5708;268.4286;354.0830;True;True;15.0981;1.1868;0.1559;2.3203;273.5111;356.9398;0.0286;-0.0196;0.0011;0.0000;True;True;15.0772;1.2330;-0.1369;354.6650;266.7322;10.8522;-0.0254;-0.0494;-0.0395;0.0000;1;En movimiento;5.7829;1.1788;-1.0200
78315;0.3745;15.2677;1.5860;0.0165;1.7089;268.2644;354.0493;True;True;15.0991;1.1858;0.1566;2.5159;273.6046;357.0694;0.0257;-0.0273;0.0197;0.0000;True;True;15.0762;1.2311;-0.1392;356.1582;265.7332;10.1902;-0.0191;-0.0349;-0.0689;0.0000;1;En movimiento;5.9079;1.1818;-1.0141
78318;0.4166;15.2672;1.5856;0.0164;1.8750;268.1142;354.0667;True;True;15.1001;1.1841;0.1583;2.9016;273.8257;357.0747;0.0226;-0.0337;0.0414;0.0000;True;True;15.0760;1.2303;-0.1427;356.8633;264.9359;10.5702;-0.0015;-0.0111;-0.0788;0.0000;1;En movimiento;6.0337;1.1842;-1.0082
78321;0.4574;15.2669;1.5852;0.0164;2.0483;267.9794;354.0785;True;True;15.1011;1.1831;0.1603;3.1721;274.0743;357.2824;0.0242;-0.0216;0.0489;0.0000;True;True;15.0753;1.2302;-0.1464;357.3030;264.9481;11.5034;-0.0512;-0.0164;-0.1146;0.0000;1;En movimiento;6.1557;1.1871;-1.0024
78324;0.4995;15.2666;1.5850;0.0165;2.1501;267.8805;354.0737;True;True;15.1020;1.1822;0.1620;3.4118;274.2968;357.3561;0.0219;-0.0194;0.0422;0.0000;True;True;15.0752;1.2312;-0.1497;358.2818;262.8622;10.7748;-0.0103;0.0197;-0.0953;0.0000;1;En movimiento;6.2816;1.1902;-0.9965
78327;0.5411;15.2665;1.5848;0.0167;2.2555;267.7606;354.0756;True;True;15.1029;1.1818;0.1636;3.5821;274.4619;357.2954;0.0192;-0.0041;0.0322;0.0000;True;True;15.0749;1.2320;-0.1529;358.7695;261.8912;10.6706;-0.0033;0.0245;-0.0728;0.0000;1;En movimiento;6.4059;1.2186;-0.9907
78330;0.5826;15.2667;1.5847;0.0170;2.2791;267.5576;354.0794;True;True;15.1035;1.1817;0.1645;3.5440;274.6497;357.1937;0.0129;0.0002;0.0204;0.0000;True;True;15.0755;1.2333;-0.1550;358.2517;261.0776;9.2508;0.0108;0.0264;-0.0305;0.0000;1;En movimiento;6.5301;1.1957;-0.9848
78333;0.6260;15.2670;1.5847;0.0174;2.2808;267.3348;354.0056;True;True;15.1039;1.1818;0.1651;3.5126;274.6839;356.9825;0.0053;0.0015;0.0085;0.0000;True;True;15.0755;1.2343;-0.1563;358.0992;262.0159;7.3218;0.0454;0.0388;-0.0661;0.0000;1;En movimiento;6.6598;1.2284;-0.9787
78336;0.6675;15.2673;1.5846;0.0178;2.2857;267.1074;353.8892;True;True;15.1040;1.1818;0.1651;3.5153;274.6649;356.9121;-0.0003;-0.0003;-0.0029;0.0000;True;True;15.0751;1.2349;-0.1589;358.6747;260.7986;6.5148;0.0046;0.0231;-0.0643;0.0000;1;En movimiento;6.7839;1.2016;-0.9729
