Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
24299;0.0415;15.2917;1.5820;-0.0372;4.2011;273.4934;353.8323;True;True;15.1325;1.2160;0.1337;356.7755;280.1037;357.4213;0.0027;-0.0003;0.0014;0.0000;True;True;15.1033;1.2378;-0.2224;351.5278;258.0596;7.4161;0.0017;0.0049;-0.0088;0.0000;1;En movimiento;5.1575;1.1599;-1.0078
24302;0.0830;15.2919;1.5820;-0.0372;4.1831;273.5184;353.8286;True;True;15.1327;1.2160;0.1335;356.7827;280.1251;357.4231;0.0044;0.0004;-0.0039;0.0000;True;True;15.1034;1.2379;-0.2228;351.5164;257.9872;7.4192;0.0025;0.0017;-0.0113;0.0000;1;En movimiento;5.5261;1.1617;-0.9490
24305;0.1242;15.2922;1.5821;-0.0370;4.1483;273.5359;353.8304;True;True;15.1328;1.2160;0.1335;356.8016;280.1107;357.4196;0.0047;-0.0006;-0.0016;0.0000;True;True;15.1036;1.2380;-0.2232;351.4892;257.8947;7.4814;0.0034;0.0030;-0.0071;0.0000;1;En movimiento;5.8918;1.1635;-0.8906
24308;0.1671;15.2925;1.5821;-0.0371;4.1448;273.5660;353.8532;True;True;15.1330;1.2160;0.1334;356.8009;280.0812;357.4908;0.0054;0.0024;-0.0004;0.0000;True;True;15.1037;1.2381;-0.2233;351.4510;257.8298;7.4804;0.0040;-0.0005;-0.0050;0.0000;1;En movimiento;6.2728;1.1648;-0.8297
24311;0.2075;15.2928;1.5821;-0.0372;4.1326;273.5242;354.0195;True;True;15.1334;1.2164;0.1337;356.7248;280.1178;357.4002;0.0081;0.0087;0.0085;0.0000;True;True;15.1038;1.2380;-0.2235;351.4540;257.7571;7.4781;0.0022;-0.0037;-0.0027;0.0000;1;En movimiento;6.6324;1.1665;-0.7723
24314;0.2494;15.2930;1.5824;-0.0371;4.0718;273.4292;354.1068;True;True;15.1338;1.2168;0.1344;356.6035;280.2725;357.3717;0.0107;0.0109;0.0237;0.0000;True;True;15.1038;1.2377;-0.2235;351.5504;257.6297;7.5266;-0.0048;-0.0070;-0.0001;0.0000;1;En movimiento;7.0043;1.1799;-0.7129
24317;0.2913;15.2930;1.5825;-0.0367;4.0299;273.3613;354.1176;True;True;15.1341;1.2168;0.1354;356.5736;280.4073;357.2065;0.0052;-0.0025;0.0191;0.0000;True;True;15.1036;1.2376;-0.2233;351.6326;257.5572;7.5457;-0.0020;-0.0007;0.0074;0.0000;1;En movimiento;7.3765;1.1698;-0.6535
24320;0.3330;15.2929;1.5825;-0.0361;4.0699;273.4014;354.0705;True;True;15.1343;1.2165;0.1362;356.6302;280.5531;357.2227;0.0049;-0.0086;0.0195;0.0000;True;True;15.1034;1.2377;-0.2225;351.6130;257.6547;7.4477;-0.0056;0.0037;0.0242;0.0000;1;En movimiento;7.7470;1.1718;-0.5944
24323;0.3748;15.2925;1.5823;-0.0350;4.1875;273.5477;353.9848;True;True;15.1346;1.2160;0.1372;356.6611;280.7227;357.2140;0.0085;-0.0108;0.0291;0.0000;True;True;15.1031;1.2378;-0.2215;351.6012;257.7985;7.3321;-0.0111;-0.0042;0.0220;0.0000;1;En movimiento;8.1182;1.1911;-0.5351
24326;0.4164;15.2921;1.5820;-0.0339;4.3973;273.7317;353.8811;True;True;15.1355;1.2159;0.1398;356.4091;281.6846;357.1873;0.0218;0.0003;0.0718;0.0000;True;True;15.1027;1.2376;-0.2206;351.6397;257.9676;7.2491;-0.0074;-0.0015;0.0227;0.0000;1;En movimiento;8.4885;1.1751;-0.4760
24329;0.4580;15.2916;1.5817;-0.0323;4.6453;274.0107;353.6434;True;True;15.1366;1.2155;0.1440;356.2558;283.1191;356.7676;0.0272;-0.0123;0.1179;0.0000;True;True;15.1022;1.2372;-0.2196;351.7564;258.0797;7.1836;-0.0201;-0.0153;0.0281;0.0000;1;En movimiento;8.8577;1.1772;-0.4170
24332;0.4999;15.2913;1.5812;-0.0299;4.9419;274.5838;353.4022;True;True;15.1385;1.2152;0.1526;355.9443;285.5670;358.2954;0.0612;0.0101;0.2839;0.0000;True;True;15.1013;1.2365;-0.2181;351.9246;258.3585;6.9412;-0.0203;-0.0166;0.0387;0.0000;1;En movimiento;9.2300;1.2025;-0.3576
24335;0.5415;15.2906;1.5809;-0.0272;5.1050;275.2520;353.0319;True;True;15.1422;1.2169;0.1730;354.9236;289.9604;0.6303;0.0932;0.0744;0.6283;0.0000;True;True;15.1009;1.2364;-0.2173;352.0027;258.4521;6.6101;-0.0045;0.0032;0.0083;0.0000;1;En movimiento;9.5995;1.1807;-0.2986
24338;0.5831;15.2900;1.5803;-0.0238;5.1963;276.0013;352.7200;True;True;15.1479;1.2228;0.2129;354.3784;297.8432;0.9540;0.1835;0.1515;1.0788;0.0000;True;True;15.1009;1.2367;-0.2170;351.9730;258.3224;6.5584;0.0045;0.0113;0.0030;0.0000;1;En movimiento;9.9691;1.1828;-0.2396
24341;0.6256;15.2897;1.5795;-0.0200;5.6554;276.6962;352.5780;True;True;15.1562;1.2298;0.2611;355.9519;306.3040;355.5154;0.1996;0.1705;1.1262;0.0000;True;True;15.1012;1.2370;-0.2167;351.9272;258.1486;6.4792;0.0053;0.0012;0.0132;0.0000;1;En movimiento;10.3472;1.1844;-0.1792
