Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
26378;0.0412;15.2988;1.5810;-0.0737;6.8913;275.4642;354.6103;True;True;15.1395;1.2060;0.1117;4.0089;279.6272;354.1010;-0.1133;-0.0814;0.0134;0.0000;True;True;15.0994;1.1960;-0.2629;1.4996;265.4558;9.9767;-0.0303;0.0197;-0.0531;0.0000;1;En movimiento;5.1543;1.1700;-1.0105
26381;0.0836;15.2978;1.5811;-0.0737;6.7596;275.2316;354.7228;True;True;15.1363;1.2047;0.1126;4.1429;279.5674;353.5207;-0.0598;-0.0113;0.0147;0.0000;True;True;15.0988;1.1979;-0.2646;1.2573;264.7323;9.6375;-0.0009;0.0614;-0.0288;0.0000;1;En movimiento;5.5313;1.1825;-0.9525
26384;0.1251;15.2972;1.5811;-0.0737;6.7619;275.1388;354.4901;True;True;15.1333;1.2046;0.1127;3.6817;279.4782;353.8423;-0.0856;0.0076;0.0046;0.0000;True;True;15.0986;1.2010;-0.2658;0.3164;264.8182;9.2583;0.0013;0.0942;-0.0339;0.0000;1;En movimiento;5.8997;1.1999;-0.8959
26387;0.1658;15.2965;1.5812;-0.0735;6.7160;275.0632;354.4810;True;True;15.1311;1.2058;0.1137;3.5327;279.8296;354.1330;-0.0437;0.0427;0.0298;0.0000;True;True;15.0984;1.2044;-0.2677;359.4775;264.0623;8.6184;-0.0044;0.0810;-0.0511;0.0000;1;En movimiento;6.2617;1.2056;-0.8403
26390;0.2074;15.2960;1.5812;-0.0734;6.7707;274.9316;354.5071;True;True;15.1293;1.2070;0.1149;2.9853;280.3702;353.9333;-0.0521;0.0184;0.0268;0.0000;True;True;15.0983;1.2075;-0.2702;358.8772;263.3735;8.9324;-0.0063;0.0645;-0.0596;0.0000;1;En movimiento;6.6308;1.2177;-0.7835
26393;0.2502;15.2953;1.5815;-0.0735;6.6252;274.6034;354.4819;True;True;15.1275;1.2081;0.1166;2.5215;280.8558;354.4972;-0.0355;0.0290;0.0530;0.0000;True;True;15.0981;1.2102;-0.2720;358.6284;262.5775;8.8481;-0.0007;0.0736;-0.0346;0.0000;1;En movimiento;7.0111;1.2418;-0.7251
26396;0.2913;15.2946;1.5813;-0.0739;6.7610;274.1931;354.3359;True;True;15.1262;1.2087;0.1188;2.2020;281.6073;354.5371;-0.0322;0.0074;0.0500;0.0000;True;True;15.0983;1.2130;-0.2735;358.1333;262.1928;8.0823;0.0092;0.0629;-0.0439;0.0000;1;En movimiento;7.3766;1.2418;-0.6689
26399;0.3333;15.2939;1.5809;-0.0743;6.9798;273.8859;354.1539;True;True;15.1250;1.2095;0.1212;2.2730;282.2181;354.9687;-0.0172;0.0387;0.0723;0.0000;True;True;15.0988;1.2151;-0.2756;358.0763;261.9717;8.1726;0.0135;0.0473;-0.0572;0.0000;1;En movimiento;7.7497;1.2542;-0.6116
26402;0.3751;15.2934;1.5806;-0.0744;7.1774;273.7545;354.0420;True;True;15.1252;1.2113;0.1249;1.7092;283.3062;355.3607;0.0020;0.0512;0.1089;0.0000;True;True;15.0995;1.2164;-0.2777;358.0321;261.4320;7.8390;0.0191;0.0264;-0.0540;0.0000;1;En movimiento;8.1214;1.2839;-0.5544
26405;0.4167;15.2931;1.5803;-0.0741;7.2794;273.8256;354.0352;True;True;15.1263;1.2143;0.1316;0.8836;285.5050;356.0959;0.0396;0.0839;0.1786;0.0000;True;True;15.0998;1.2165;-0.2799;358.2437;261.0851;7.3814;0.0074;-0.0091;-0.0565;0.0000;1;En movimiento;8.4906;1.2781;-0.4977
