Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
28446;0.0421;15.3347;1.5707;-0.0528;11.9193;266.2345;355.4330;True;True;15.1304;1.2665;0.1236;345.6120;282.7589;354.6318;0.0088;-0.0010;-0.0027;0.0000;True;True;15.1193;1.3063;-0.2705;341.5959;253.0386;8.3187;0.0140;-0.0099;-0.0210;0.0000;1;En movimiento;5.1661;1.1716;-1.0446
28449;0.0837;15.3354;1.5715;-0.0523;11.6288;266.3512;355.4645;True;True;15.1312;1.2666;0.1239;345.7495;282.6799;354.5011;0.0275;0.0053;0.0175;0.0000;True;True;15.1197;1.3061;-0.2706;341.7418;252.8605;8.4773;0.0051;0.0011;0.0035;0.0000;1;En movimiento;5.5394;1.1812;-1.0227
28452;0.1247;15.3360;1.5723;-0.0518;11.2658;266.4344;355.3530;True;True;15.1319;1.2670;0.1252;346.1187;282.9070;353.5467;0.0104;0.0076;0.0227;0.0000;True;True;15.1202;1.3063;-0.2699;341.6050;253.0898;8.1834;0.0185;0.0155;0.0328;0.0000;1;En movimiento;5.9074;1.1927;-1.0011
28455;0.1673;15.3367;1.5731;-0.0514;10.9148;266.4052;355.2613;True;True;15.1325;1.2674;0.1262;346.1864;283.2682;353.7576;0.0144;0.0124;0.0308;0.0000;True;True;15.1206;1.3073;-0.2701;341.2431;253.1195;7.7131;0.0095;0.0250;-0.0238;0.0000;1;En movimiento;6.2902;1.2126;-0.9786
28458;0.2090;15.3373;1.5739;-0.0512;10.5851;266.2986;355.1986;True;True;15.1328;1.2677;0.1273;346.2718;283.2643;353.5179;0.0106;0.0083;0.0273;0.0000;True;True;15.1212;1.3090;-0.2720;341.0301;252.6785;7.9842;0.0142;0.0491;-0.0644;0.0000;1;En movimiento;6.6636;1.2264;-0.9567
28461;0.2496;15.3377;1.5745;-0.0511;10.1918;266.0968;355.2565;True;True;15.1334;1.2681;0.1285;346.2381;283.3876;353.6489;0.0185;0.0100;0.0341;0.0000;True;True;15.1217;1.3104;-0.2748;340.7477;252.0683;7.8612;0.0139;0.0349;-0.0677;0.0000;1;En movimiento;7.0287;1.2277;-0.9353
28464;0.2923;15.3380;1.5752;-0.0511;9.8278;265.6395;355.3887;True;True;15.1342;1.2682;0.1298;346.1603;283.5285;353.6859;0.0238;0.0001;0.0357;0.0000;True;True;15.1227;1.3120;-0.2785;340.3657;251.6071;7.2256;0.0299;0.0380;-0.1078;0.0000;1;En movimiento;7.4116;1.2536;-0.9128
28467;0.3326;15.3382;1.5759;-0.0512;9.5618;265.0617;355.4803;True;True;15.1349;1.2678;0.1314;346.1592;283.7040;353.8452;0.0173;-0.0144;0.0454;0.0000;True;True;15.1236;1.3126;-0.2838;340.2276;250.7601;6.7371;0.0203;0.0059;-0.1376;0.0000;1;En movimiento;7.7730;1.2669;-0.8916
28470;0.3742;15.3384;1.5762;-0.0512;9.3266;264.3813;355.5767;True;True;15.1357;1.2666;0.1336;346.4173;283.9629;353.5784;0.0116;-0.0353;0.0487;0.0000;True;True;15.1245;1.3128;-0.2896;340.4257;249.8829;6.0712;0.0260;0.0073;-0.1418;0.0000;1;En movimiento;8.1463;1.2628;-0.8697
28473;0.4160;15.3386;1.5764;-0.0512;9.2089;263.4808;355.6687;True;True;15.1362;1.2652;0.1352;346.6271;284.0880;353.6534;0.0119;-0.0316;0.0410;0.0000;True;True;15.1261;1.3134;-0.2959;340.3566;248.7542;5.4574;0.0477;0.0191;-0.1558;0.0000;1;En movimiento;8.5218;1.2749;-0.8476
28476;0.4581;15.3388;1.5765;-0.0511;8.9795;262.5595;355.6439;True;True;15.1364;1.2639;0.1374;346.8180;284.4562;353.3547;0.0008;-0.0335;0.0576;0.0000;True;True;15.1283;1.3143;-0.3019;340.2720;247.5684;5.1724;0.0512;0.0220;-0.1356;0.0000;1;En movimiento;8.8994;1.3084;-0.8255
28479;0.4993;15.3391;1.5768;-0.0509;8.7288;261.6267;355.6135;True;True;15.1362;1.2625;0.1397;347.0430;284.8943;353.0995;-0.0052;-0.0330;0.0581;0.0000;True;True;15.1305;1.3154;-0.3074;340.0152;246.5145;4.4746;0.0604;0.0306;-0.1418;0.0000;1;En movimiento;9.2693;1.2983;-0.8038
28482;0.5414;15.3396;1.5774;-0.0505;8.3826;260.6073;355.4756;True;True;15.1357;1.2611;0.1419;347.2642;285.1598;352.8698;-0.0180;-0.0320;0.0507;0.0000;True;True;15.1329;1.3170;-0.3132;339.7643;245.1737;4.0887;0.0471;0.0519;-0.1382;0.0000;1;En movimiento;9.6474;1.3106;-0.7816
28485;0.5832;15.3406;1.5776;-0.0499;7.9966;259.6534;355.2720;True;True;15.1345;1.2599;0.1439;347.4878;285.1517;352.8764;-0.0358;-0.0284;0.0484;0.0000;True;True;15.1337;1.3223;-0.3195;339.2266;244.6315;2.9700;0.0109;0.1620;-0.1659;0.0000;1;En movimiento;10.0219;1.3499;-0.7596
28488;0.6249;15.3417;1.5786;-0.0497;7.5090;258.5839;355.1621;True;True;15.1329;1.2592;0.1458;347.8482;285.2557;352.8885;-0.0373;-0.0130;0.0472;0.0000;True;True;15.1332;1.3352;-0.3288;337.4816;243.4661;359.8782;-0.0154;0.3560;-0.2378;0.0000;1;En movimiento;10.3969;1.3342;-0.7376
28491;0.6664;15.3429;1.5797;-0.0497;6.8887;257.2673;355.1759;True;True;15.1314;1.2591;0.1478;347.9115;285.3871;353.1348;-0.0314;0.0039;0.0425;0.0000;True;True;15.1335;1.3551;-0.3416;335.2356;241.3834;357.7495;0.0154;0.5176;-0.3274;0.0000;1;En movimiento;10.7690;1.3463;-0.7158
28494;0.7083;15.3443;1.5807;-0.0499;6.2479;255.6009;355.3948;True;True;15.1302;1.2593;0.1496;347.4701;285.2309;353.3024;-0.0322;0.0021;0.0464;0.0000;True;True;15.1345;1.3797;-0.3550;332.5641;238.6815;357.2582;0.0233;0.6347;-0.3203;0.0000;1;En movimiento;11.1452;1.3579;-0.6937
28497;0.7494;15.3457;1.5818;-0.0504;5.6300;253.6897;355.5359;True;True;15.1292;1.2590;0.1519;347.1352;285.5908;353.5058;-0.0162;-0.0126;0.0569;0.0000;True;True;15.1344;1.4062;-0.3683;329.3784;235.8125;355.9281;-0.0237;0.5946;-0.3173;0.0000;1;En movimiento;11.5139;1.3699;-0.6720
28500;0.7916;15.3472;1.5827;-0.0508;5.1615;251.7681;355.5311;True;True;15.1285;1.2576;0.1549;347.1203;285.9839;352.9041;-0.0166;-0.0406;0.0738;0.0000;True;True;15.1314;1.4316;-0.3831;327.2402;230.8128;355.9038;-0.0937;0.6046;-0.3731;0.0000;1;En movimiento;11.8930;1.3824;-0.6498
28503;0.8332;15.3489;1.5830;-0.0514;4.7642;249.6654;355.4295;True;True;15.1284;1.2557;0.1585;347.3199;286.9923;352.4330;0.0026;-0.0462;0.0886;0.0000;True;True;15.1261;1.4568;-0.3974;326.7317;224.2740;358.8672;-0.1278;0.5650;-0.2918;0.0000;1;En movimiento;12.2656;1.3939;-0.6279
28506;0.8753;15.3506;1.5837;-0.0521;4.2808;247.7042;355.2695;True;True;15.1281;1.2535;0.1625;347.7393;287.8502;351.6120;-0.0118;-0.0541;0.0968;0.0000;True;True;15.1191;1.4839;-0.4105;325.0443;219.7157;0.9817;-0.1896;0.7022;-0.3007;0.0000;1;En movimiento;12.6437;1.4064;-0.6057
28509;0.9166;15.3521;1.5847;-0.0530;3.5098;245.7985;354.9162;True;True;15.1277;1.2516;0.1664;348.2134;288.5370;351.1517;-0.0082;-0.0378;0.0912;0.0000;True;True;15.1102;1.5162;-0.4206;320.4228;214.6226;359.9669;-0.2165;0.7608;-0.2230;0.0000;1;En movimiento;13.0145;1.4185;-0.5840
28512;0.9587;15.3538;1.5856;-0.0541;2.9701;244.2426;354.4513;True;True;15.1271;1.2502;0.1702;348.5121;289.1262;350.8812;-0.0205;-0.0294;0.0850;0.0000;True;True;15.0982;1.5476;-0.4332;320.0122;210.8323;2.1755;-0.3540;0.7234;-0.3123;0.0000;1;En movimiento;13.3920;1.4303;-0.5618
28515;0.9999;15.3554;1.5864;-0.0555;2.3657;242.6112;353.8374;True;True;15.1256;1.2490;0.1735;348.6435;289.3810;351.5475;-0.0387;-0.0239;0.0733;0.0000;True;True;15.0823;1.5815;-0.4443;320.9408;207.5925;0.4983;-0.3262;0.8025;-0.2591;0.0000;1;En movimiento;13.7619;1.4425;-0.5401
